"","player_id","player_name","team","games_played","minute","second","shots_faced","goals_against","goals_against_avg","save_percentage","shutouts","wins","losses","so_att","so_goals_against","so_save_percentage"
"1","85","Elaine Chuli","MTL",7,424,7,225,10,1.41,0.956,0,5,1,5,3,0.4
"2","123","Maddie Rooney","MIN",8,487,38,187,14,1.72,0.925,2,5,1,3,1,0.667
"3","22","Nicole Hensley","MIN",11,669,28,299,20,1.79,0.933,1,7,3,4,1,0.75
"4","70","Erica Howe","TOR",3,158,24,63,5,1.89,0.921,0,1,1,0,0,0
"5","64","Kristen Campbell","TOR",17,990,14,425,34,2.06,0.92,3,12,5,10,1,0.9
"6","6","Aerin Frankel","BOS",14,805,52,386,28,2.08,0.927,1,5,6,5,1,0.8
"7","155","Corinne Schroeder","NY",12,726,13,413,27,2.23,0.935,1,6,5,5,2,0.6
"8","28","Ann-Renée Desbiens","MTL",12,732,10,346,28,2.29,0.919,0,5,4,9,4,0.556
"9","59","Emerance Maschmeyer","OTT",18,1032,12,450,40,2.33,0.911,1,7,6,4,2,0.5
"10","41","Abigail Levy","NY",7,423,50,230,18,2.55,0.922,0,1,4,1,0,1
"11","19","Emma Söderberg","BOS",7,341,30,138,16,2.81,0.884,0,3,3,0,0,0
"12","48","Sandra Abstreiter","OTT",3,116,42,69,6,3.08,0.913,0,0,0,4,3,0.25
